Uuid, Void/Retire, Service Name, Short Name, Concept, Service Type, Service Status
9f941776-18a5-4e01-bf43-c25d078a5d9a,, Lifestyle Coaching, LFT, 1592AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, Lifestyle Coaching, Enabled
afb45d6e-d69c-460c-b931-d8cf5e089dbf,, Weight Management, WGM, 164949AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, Weight Management, Enabled
83a98b34-ac15-4b10-bce6-c652d0e2c487,, Nutrition Consulting, NUC, 1380AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, Nutrition Consulting, Enabled
e64f24d5-8231-4e0b-b4b2-e5b022f58b9c,, Mindfulness Training, MDT, 160542AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, Mindfulness Training, Enabled
d13ecde0-400f-49f4-bd86-5ca40f0e5cd5,, Stress Management, STR, 160542AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, Stress Management, Enabled
681a1077-588e-4522-8e48-d4f0346bd393,, Wellness Workshops, WLW, 160542AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, Wellness Workshops, Enabled




